run_id,n,p,psrs_time,gather_time,io_time,correct
1,1000000,1,0.008497,0.002265,0.000000,1
2,2000000,1,0.017989,0.005278,0.000000,1
3,4000000,1,0.035132,0.009299,0.000000,1
4,8000000,1,0.131094,0.018766,0.000000,1
5,16000000,1,0.352452,0.038961,0.000001,1
6,1000000,2,0.052657,0.002422,0.000000,1
7,2000000,2,0.099984,0.004659,0.000000,1
8,4000000,2,0.207002,0.009306,0.000000,1
9,8000000,2,0.414416,0.017577,0.000000,1
10,16000000,2,0.804740,0.037703,0.000000,1
11,1000000,3,0.041216,0.002772,0.000000,1
12,2000000,3,0.064490,0.004223,0.000000,1
13,4000000,3,0.135670,0.009638,0.000000,1
14,8000000,3,0.284639,0.017129,0.000000,1
15,16000000,3,0.544117,0.033364,0.000000,1
16,1000000,4,0.054524,0.003058,0.000000,1
17,2000000,4,0.072307,0.006038,0.000000,1
18,4000000,4,0.147868,0.009328,0.000000,1
19,8000000,4,0.270607,0.018283,0.000000,1
20,16000000,4,0.461420,0.035900,0.000000,1
